('Total Revenue', '184,903,000', '143,015,000', '110,360,000', '168,088,000', '125,843,000')
         569323 function calls (546299 primitive calls) in 1.194 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      224    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       44    0.000    0.000    0.000    0.000 ipaddress.py:1881(__init__)
       52    0.000    0.000    0.003    0.000 css_parser.py:1113(<listcomp>)
        3    0.000    0.000    0.000    0.000 url.py:330(parse_url)
        2    0.000    0.000    0.026    0.013 connection.py:1(<module>)
       10    0.000    0.000    0.004    0.000 enum.py:536(_convert_)
       16    0.000    0.000    0.000    0.000 enum.py:626(_find_new_)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1607(<setcomp>)
        2    0.000    0.000    0.000    0.000 feedparser.py:218(_parsegen)
       15    0.000    0.000    0.036    0.002 css_parser.py:308(__init__)
        9    0.000    0.000    0.000    0.000 _collections_abc.py:983(update)
       66    0.000    0.000    0.000    0.000 re.py:269(escape)
       42    0.000    0.000    0.000    0.000 enum.py:579(_get_mixins_)
